Boundary number,Yr_pass,Day_orbit,Hour,Minute,Second,Orbit_number,X_MSO (km),Y_MSO (km),Z_MSO (km)
1,2011,82,23,47,2.7,12,6275.334,8142.117,-4504.138
2,2011,82,23,59,44.4,12,5928.638,7831.493,-3564.992
3,2011,83,1,10,0.1,12,2258.153,3712.435,2075.611
4,2011,83,1,14,3.2,12,1888.531,3238.635,2347.968
5,2011,83,2,14,46.1,12,-2025.455,-3617.479,-3305.72
6,2011,83,2,15,33.6,12,-2014.216,-3626.92,-3423.196
7,2011,83,4,35,8.8,12,2170.913,-23.723,-14078.606
8,2011,83,7,32,21.2,12,6466.991,5495.111,-15521.075
1,2011,83,12,18,47,13,5802.993,7080.117,-2426.101
2,2011,83,12,46,32,13,4490.593,5812.724,-156.706
3,2011,83,13,20,54,13,1792.386,2837.172,2500.763
4,2011,83,13,24,32,13,1396.049,2361.492,2689.165
5,2011,83,14,13,48,13,-2257.7,-3413.097,-2487.837
6,2011,83,14,19,14,13,-2206.475,-3514.374,-3314.928
7,2011,83,14,45,20,13,-1610.79,-3417.736,-6629.079
8,2011,83,14,49,18,13,-1493.453,-3352.64,-7052.862
1,2011,84,1,0,5.3,14,4171.294,5019.729,612.094
2,2011,84,1,0,36.6,14,4133.547,4983.582,656.337
3,2011,84,1,19,52.9,14,2501.63,3349.154,2161.097
4,2011,84,1,21,4.6,14,2379.463,3221.221,2242.46
5,2011,84,2,18,21.9,14,-2425.913,-3303.443,-2512.112
6,2011,84,2,21,28.4,14,-2404.375,-3368.892,-2989.443
7,2011,84,3,30,24.8,14,-424.443,-2450.004,-10255.868
8,2011,84,3,31,51,14,-373.864,-2411.21,-10359.103
1,2011,84,13,4,25,15,4413.404,4813.146,611.932
2,2011,84,13,6,15.5,15,4276.368,4693.774,763.798
3,2011,84,13,27,42.3,15,2285.976,2863.34,2390.094
4,2011,84,13,30,40.4,15,1941.378,2528.075,2563.472
5,2011,84,14,30,9.2,15,-2520.697,-3311.288,-3617.587
6,2011,84,14,31,14.9,15,-2504.469,-3322.253,-3774.626
7,2011,84,15,3,59.6,15,-1636.541,-3100.097,-7646.423
8,2011,84,15,15,20.1,15,-1250.321,-2882.432,-8698.871
1,2011,85,1,19,14.8,16,3760.371,3888.008,1466.706
2,2011,85,1,19,27,16,3741.897,3872.791,1482.492
3,2011,85,1,34,58.3,16,2070.631,2440.155,2562.249
4,2011,85,1,35,34.7,16,1993.257,2371.086,2595.353
5,2011,85,2,34,33.5,16,-2681.11,-3188.195,-3613.085
6,2011,85,2,47,0.6,16,-2433.778,-3234.006,-5278.972
7,2011,85,3,14,12.7,16,-1590.566,-2923.12,-8198.224
8,2011,85,3,17,46.6,16,-1464.692,-2858.107,-8522.929
1,2011,85,13,20,7.9,17,4263.845,3946.067,1190.435
2,2011,85,13,24,41.2,17,3838.2,3629.616,1553.006
3,2011,85,13,36,28.5,17,2547.734,2631.196,2396.942
4,2011,85,13,38,36.1,17,2280.501,2417.031,2523.806
5,2011,85,14,38,0.2,17,-2845.011,-3047.254,-3470.251
6,2011,85,14,40,16.5,17,-2815.508,-3074.22,-3795.322
7,2011,85,15,7,59.5,17,-2101.317,-2996.167,-7152.255
8,2011,85,15,9,59.1,17,-2034.712,-2971.439,-7357.088
1,2011,86,1,30,36.1,18,3846.093,3339.778,1675.715
